Column1.chance_of_playing_next_round,Column1.chance_of_playing_this_round,Column1.code,Column1.cost_change_event,Column1.cost_change_event_fall,Column1.cost_change_start,Column1.cost_change_start_fall,Column1.dreamteam_count,Column1.element_type,Column1.ep_next,Column1.ep_this,Column1.event_points,Column1.first_name,Column1.form,Column1.id,Column1.in_dreamteam,Column1.news,Column1.news_added,Column1.now_cost,Column1.photo,Column1.points_per_game,Column1.second_name,Column1.selected_by_percent,Column1.special,Column1.squad_number,Column1.status,Column1.team,Column1.team_code,Column1.total_points,Column1.transfers_in,Column1.transfers_in_event,Column1.transfers_out,Column1.transfers_out_event,Column1.value_form,Column1.value_season,Column1.web_name,Column1.minutes,Column1.goals_scored,Column1.assists,Column1.clean_sheets,Column1.goals_conceded,Column1.own_goals,Column1.penalties_saved,Column1.penalties_missed,Column1.yellow_cards,Column1.red_cards,Column1.saves,Column1.bonus,Column1.bps,Column1.influence,Column1.creativity,Column1.threat,Column1.ict_index
,,69140,0,0,-2,2,0,2,0.0,1.0,0,Shkodran,0.0,1,FALSE,,,53,69140.jpg,0.0,Mustafi,0.4,FALSE,,a,1,3,0,4955,253,24783,933,0.0,0.0,Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,25,98745,0,0,-1,1,0,2,0.0,0.2,0,Héctor,0.0,2,FALSE,,2019-06-25T11:30:06.897107Z,54,98745.jpg,0.0,Bellerín,0.1,FALSE,,a,1,3,0,2510,1194,5406,307,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,75,111457,0,0,-1,1,0,2,1.2,1.7,1,Sead,1.2,3,FALSE,,2019-09-19T23:30:10.394662Z,54,111457.jpg,1.5,Kolasinac,0.8,FALSE,,a,1,3,6,22213,1219,66611,4010,0.2,1.1,Kolasinac,289,0,1,0,6,0,0,0,1,0,0,0,57,66.2,71.8,23.0,16.1
100,,154043,0,0,1,-1,1,2,0.6,1.8,-3,Ainsley,0.8,4,FALSE,,2019-09-22T18:00:10.824841Z,51,154043.jpg,2.8,Maitland-Niles,6.6,FALSE,,a,1,3,17,528774,7845,276062,78251,0.2,3.3,Maitland-Niles,490,0,2,1,10,0,0,0,0,1,0,3,92,136.4,108.2,31.0,27.1
,,39476,0,0,0,0,0,2,0.8,1.8,1,Sokratis,0.8,5,FALSE,,,50,39476.jpg,2.2,Papastathopoulos,1.9,FALSE,,a,1,3,13,64892,1956,68528,7424,0.2,2.6,Sokratis,540,0,0,1,10,0,0,0,1,0,0,2,95,118.0,23.0,10.0,15.1
0,0,38411,0,0,0,0,0,2,0.0,0.0,0,Nacho,0.2,6,FALSE,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,38411.jpg,3.3,Monreal,0.4,FALSE,,u,1,3,10,27850,17,79013,2484,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0
0,0,51507,0,0,0,0,0,2,0.0,0.0,0,Laurent,0.0,7,FALSE,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,51507.jpg,0.0,Koscielny,0.1,FALSE,,u,1,3,0,271,27,11515,197,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50,25,233963,0,0,-1,1,0,2,0.0,0.2,0,Konstantinos,0.0,8,FALSE,Lack of match fitness - 50% chance of playing,2019-08-09T09:30:11.868345Z,44,233963.jpg,0.0,Mavropanos,0.0,FALSE,,d,1,3,0,212,21,3272,76,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,80254,0,0,0,0,0,2,0.0,0.0,0,Carl,0.0,9,FALSE,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,80254.jpg,0.0,Jenkinson,0.0,FALSE,,u,1,3,0,136,6,2060,55,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,100,156074,0,0,0,0,0,2,0.0,1.0,0,Rob,0.0,10,FALSE,,2019-06-25T11:30:06.913215Z,45,156074.jpg,0.0,Holding,0.1,FALSE,,a,1,3,0,3571,864,3788,358,0.0,0.0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
